user_id,country,city,device,channel,sessions_last_30d,avg_session_duration_min,pages_per_session,purchases_last_30d,revenue_last_30d,churned,signup_year,plan,n_support_tickets
1001,RU,Moscow,q,Organic,25,12.5,6.2,3,4500.0,0,2021,Pro,1
1002,RU,Saint Petersburg,w,Organic,5,4.2,3.1,0,0.0,1,2020,Free,0
1003,KZ,Almaty,e,Organic,12,8.3,5.0,1,1200.0,0,2022,Basic,2
1004,BY,Minsk,r,Organic,18,9.1,4.7,2,2600.5,0,2021,Pro,0
1005,RU,Moscow,t,Organic,3,3.0,2.2,0,0.0,1,2019,Free,1
1006,RU,Novosibirsk,y,Organic,9,6.0,4.0,1,800.0,0,2023,Basic,0
1007,UA,Kyiv,u,Organic,14,7.5,4.8,1,1500.0,0,2022,Basic,3
1008,RU,Moscow,u,Organic,34,15.2,7.1,4,6200.0,0,2020,Pro,2
1009,KZ,Astana,i,Organic,7,5.1,3.5,0,0.0,1,2021,Free,0
1010,RU,Yekaterinburg,o,Organic,11,7.0,4.3,1,1100.0,0,2022,Basic,1
1011,RU,Moscow,p,Organic,20,10.0,5.6,2,3000.0,0,2021,Pro,4
1012,BY,Minsk,a,Organic,2,2.5,1.8,0,0.0,1,2018,Free,0
1013,RU,Kazan,q,Organic,16,9.8,4.9,2,2100.0,0,2020,Basic,1
1014,UA,Lviv,s,Organic,8,6.2,3.7,1,900.0,0,2023,Basic,0
1015,RU,Saint Petersburg,d,Organic,4,3.8,2.9,0,0.0,1,2019,Free,2
1016,RU,Moscow,f,Organic,27,13.1,6.8,3,4800.0,0,2021,Pro,1
1017,KZ,Almaty,g,Organic,6,4.9,3.3,0,0.0,1,2020,Free,0
1018,RU,Rostov-on-Don,h,Organic,10,6.9,4.1,1,950.0,0,2022,Basic,2
1019,RU,Moscow,j,Organic,22,11.3,5.9,2,3400.0,0,2020,Pro,1
1020,BY,Gomel,k,Organic,5,4.1,3.0,0,0.0,1,2019,Free,0
1021,RU,,l,Organic,13,7.4,4.4,1,1300.0,0,2022,Basic,1
1022,RU,Moscow,z,Organic,0,,1.0,0,0.0,1,2024,Free,0
1023,UA,Kyiv,x,Organic,19,8.7,5.2,2,2800.0,0,2021,Pro,3
1024,KZ,Astana,c,Organic,15,9.0,4.6,1,1700.0,0,2020,Basic,1
1025,RU,Moscow,v,Organic,3,3.0,2.2,0,0.0,1,2019,Free,1
1025,RU,Moscow,b,Organic,3,3.0,2.2,0,0.0,1,2019,Free,1
1026,RU,Krasnoyarsk,n,Organic,9,,3.9,1,700.0,0,2023,Basic,0
1027,BY,Minsk,m,Organic,21,10.5,5.5,2,3200.0,0,2021,Pro,1
1028,RU,Moscow,й,Organic,1,2.0,1.5,0,0.0,1,2024,Free,0
1029,UA,,ц,Organic,7,5.5,3.4,1,800.0,0,2022,Basic,2
1030,RU,Saint Petersburg,у,Organic,18,9.4,4.9,2,2600.0,0,2020,Pro,1
1031,KZ,Almaty,к,Organic,11,7.1,4.2,1,1400.0,0,2021,Basic,0
1032,RU,Moscow,е,Organic,30,14.0,7.5,4,7000.0,0,2019,Pro,5
1033,RU,Perm,н,Organic,4,3.5,2.6,0,0.0,1,2023,Free,0
1034,BY,Brest,г,Organic,6,4.8,3.2,1,850.0,0,2022,Basic,1
1035,UA,Odessa,ш,Organic,12,8.0,4.4,1,1300.0,0,2021,Basic,1
